0 WALK 2 4
0 WALK 5 7
0 WALK 8 10
0 WALK 11 13
0 WALK 14 16
0 WALK 17 19
0 WALK 20 22
0 WALK 23 25
0 WALK 26 28
0 WALK 29 31
0 WALK 32 34
0 GRAB 35 44
0 PUTBACK 45 54
0 WALK 55 57
0 WALK 58 60
0 WALK 61 63
0 OPEN 64 74
0 WALK 75 81
0 CLOSE 82 92
0 WALK 93 95
0 WALK 96 105
0 OPEN 106 116
0 WALK 117 132
0 CLOSE 133 143
0 WALK 144 146
0 WALK 147 149
0 WALK 150 152
0 WALK 153 155
0 WALK 156 158
0 WALK 159 161
0 WALK 162 164
0 WALK 165 167
0 WALK 168 170
0 WALK 171 173
0 WALK 174 176
0 WALK 177 179
0 WALK 180 182
0 WALK 183 185
0 WALK 186 188
0 WALK 189 191
0 WALK 192 204
0 OPEN 205 215
0 GRAB 216 225
0 WALK 226 243
0 CLOSE 244 254
0 WALK 255 257
0 WALK 258 260
0 WALK 261 263
0 WALK 264 266
0 WALK 267 269
0 WALK 270 272
0 WALK 273 275
0 WALK 276 278
0 WALK 279 281
0 WALK 282 284
0 WALK 285 287
0 WALK 288 290
0 WALK 291 293
0 WALK 294 315
0 PUTBACK 316 323
