# {"t_start": 1581437344.871316, "env_id": "virtualhome-v0"} 
r,l,t
0.066711,31,21.212704
3.561457,31,26.216664
-0.021836,31,30.753329
-1.029337,31,35.585527
0.158772,31,40.086752
1.121463,31,44.659766
-2.283749,31,49.48441
1.968262,31,53.90755
1.667756,31,58.570413
-3.096154,31,63.18597
6.585928,31,67.794233
-5.752604,31,72.165189
-3.710069,31,76.802446
5.28024,31,81.251467
-0.56057,31,85.597079
2.190447,31,90.115971
2.31293,31,95.117731
1.536161,31,100.095525
-8.843278,31,104.684371
10.858697,31,109.420947
-0.760161,31,114.200075
-0.965898,31,119.390175
-1.201038,31,123.662256
1.965083,31,128.155272
-8.334656,31,132.45061
21.26103,13,134.572639
-5.089107,31,139.100106
3.402711,31,143.963594
-3.136963,31,148.351038
2.073667,31,152.816425
3.606211,31,157.466376
-9.745557,31,162.351206
10.150934,31,167.141039
0.115983,31,172.185846
-8.268783,31,176.612732
19.91711,17,179.208626
-9.579806,31,183.782105
7.746674,31,188.478838
0.176542,31,193.298351
-1.440285,31,197.903299
3.032261,31,202.511672
12.009527,20,205.516547
-10.290907,31,209.850121
-0.389436,31,214.042748
9.089484,31,218.991923
-3.419126,31,223.489757
-0.494794,31,228.099471
-4.562663,31,232.282225
7.221642,31,236.826383
2.308239,31,241.653881
-4.376248,31,246.556523
1.793171,31,251.641149
0.963508,31,256.229579
1.527062,31,260.707474
-2.482962,31,265.199365
1.705548,31,269.908977
0.781297,31,274.441846
2.780583,31,279.083568
-0.212947,31,283.57287
2.58832,31,288.336308
0.27627,31,293.190666
-2.888098,31,298.079795
-4.668812,31,302.451499
8.520941,31,307.169947
-1.716508,31,311.748972
-2.181061,31,316.330739
1.519936,31,321.700244
-6.588559,31,326.156437
9.403404,31,331.062451
-1.897984,31,335.731627
-1.620148,31,340.696932
2.028341,31,345.1518
1.089791,31,349.520275
-0.208624,31,353.758918
3.323091,31,358.340017
-1.921317,31,362.992619
0.576123,31,367.639405
-4.845299,31,372.284479
-3.992712,31,376.64563
8.327078,31,381.170681
-1.157841,31,385.598906
-4.868844,31,390.048133
21.201981,4,390.783058
-11.920836,31,395.873497
5.788069,31,400.547587
0.422282,31,405.403784
4.547888,31,409.928673
-2.229058,31,414.811548
15.392542,26,418.922721
-4.215561,31,423.449095
-1.393398,31,428.045438
4.315874,31,432.722993
1.382949,31,437.534515
0.211508,31,442.149355
-0.373694,31,447.029137
-2.858253,31,451.506021
2.050063,31,456.234281
-1.794597,31,461.041476
3.554935,31,465.766798
0.758824,31,470.70438
-0.184427,31,475.820178
-0.114964,31,480.839312
-2.182743,31,485.311651
0.556692,31,490.164553
3.961065,31,494.993781
-0.216614,31,499.979879
-3.54249,31,504.333591
2.945789,31,508.886965
13.00799,16,511.346558
-3.748463,31,516.080221
